id,naziv,tip,lat,lon,website,telefon
node/1744047034,Camp Slatina,marina,44.8161333,14.3411626,,
node/1747950843,Sveta Marina,marina,45.0319781,14.1574319,,
node/1749022103,Konoba Piccolo,marina_no_facilities,43.7267181,15.4766051,,+385 22 643 688
node/1751346178,Ravni Žakan,marina,43.7260504,15.4329001,http://marina-hramina.com/de/taverne-zakan/,+385 91 7260579
node/1753740067,Marina bez naziva (node/1753740067),marina,44.2943736,15.1052198,,
node/1753810367,Konoba Pipo,marina,43.3392285,16.7954101,http://www.pipo1.com,+385-98-265315; +385-21-633096
node/1754023824,Povlja,marina,43.3337503,16.8360281,,
node/1786185795,Stara luka,marina,43.5855446,15.9231632,,+385 91 2894006
node/1787186366,Sidrište Luka Hvar,marina,43.1714582,16.4400915,,
node/1844648999,Marina bez naziva (node/1844648999),marina,42.8158823,17.6751772,,
node/1860020712,Marina Bunarina - Pula,marina,44.8395956,13.8381119,,
node/1885465875,Luka Krapanj,marina,43.6721983,15.9190481,,
node/1893010725,Luka Jelsa,marina,43.1625271,16.6943315,,
node/1920951551,Skrivena Luka,marina_no_facilities,42.7338206,16.8862777,,
node/1920951574,Marina Orebićc,marina,42.9738384,17.1750434,,
node/2001082254,Marina bez naziva (node/2001082254),marina_no_facilities,43.5073054,16.4386106,,
node/2001903853,Restaurant Festa,marina,43.8803764,15.2884183,www.zut.hr,+385 22 643 190
node/2008968277,Marina Novigrad,marina,45.3168911,13.561527,,+385 52 757176
node/2050534252,Marina bez naziva (node/2050534252),marina,42.7313022,17.6484931,,
node/2053535150,Konoba Levrnaka,marina,43.8209347,15.2552714,http://www.konoba-levrnaka.hr,+385 91 4353777
node/2085244737,Vrulje,marina_no_facilities,43.81019,15.3047555,http://www.vrulje-kornati.com/vruljeDE.html,+385 99 734 2169
node/2085254545,Strižnja,marina_no_facilities,43.8195156,15.2850755,,
node/2091682258,Luka ŠŠibenik,marina_no_facilities,43.7335893,15.8907519,http://www.cpa-sŠibenik-knin.hr/eng/ports/sŠibenik.asp,+385 91 1188875
node/2094210250,Luka Rogoznica,marina,43.5262219,15.9689167,http://www.cpa-sŠibenik-knin.hr/eng/ports/rogoznica.asp,+385 91 2564387;+385 91 256 43 85
node/2101121058,YC Orsan,marina,42.660076,18.0798074,,
node/2159686915,Marina bez naziva (node/2159686915),marina_no_facilities,43.5153921,16.2496285,,+385 21 881508
node/2171564973,Marina bez naziva (node/2171564973),marina,44.2645412,15.1178158,,
node/2171569321,Marina bez naziva (node/2171569321),marina,44.2565939,15.1208333,,
node/2229134869,Marina bez naziva (node/2229134869),marina,43.3078577,16.8868878,,
node/2274495833,Luka Nerezine,marina,44.6603914,14.3986716,,
node/2379492142,Božava,marina,44.1394059,14.907044,,
node/2391984672,Marina Rogačč,marina,42.783033,17.8772727,,
node/2394392190,Marina bez naziva (node/2394392190),marina,44.2433292,15.1776523,,
node/2394392276,Marina bez naziva (node/2394392276),marina,44.24336,15.1816541,,
node/2407929158,Luka Susak,marina,44.5127995,14.3102778,,
node/2427728461,Luka Mandre,marina,44.4777778,14.9191049,,
node/2515514855,Goli otok,marina,44.8407124,14.8042648,,
node/2520729023,Lučica Strožanac,marina,43.5016082,16.5329932,http://dsr-strozanac.hr/,
node/2523108384,Konoba Sandra,marina,43.8802438,15.2864637,,+385 98 923 5033
node/2523589734,Marina bez naziva (node/2523589734),marina,44.8232031,14.7473016,,
node/2623606984,Okrug Gornji,marina,43.4959483,16.2602504,,
node/2624003643,Marina bez naziva (node/2624003643),marina,43.4934807,16.272726,,
node/2625350964,Marina bez naziva (node/2625350964),marina,42.9246958,17.1717219,,
node/2639666418,Marina bez naziva (node/2639666418),marina,44.5220754,14.5007413,,
node/2641111859,Marina bez naziva (node/2641111859),marina,43.4931486,16.2082431,,
node/2669795557,Bojenfeld Badija,marina,42.9505425,17.1631518,,
node/2916294595,Bobovišća,marina,43.3506603,16.4620207,,
node/2951332985,Marina bez naziva (node/2951332985),marina,44.9560575,13.7847016,,
node/2974027804,Marina Zaton,marina,43.778606,15.8306794,http://www.dreamyachtcharter.hr/Kategorija.aspx?Kat=63,
node/3001970153,Medveja,marina,45.271097,14.2710811,,
node/3014882679,Marina bez naziva (node/3014882679),marina,44.260438,15.2927459,,
node/3089853126,Marina bez naziva (node/3089853126),marina,43.936913,15.4400452,,
node/3201280527,Marina bez naziva (node/3201280527),marina,46.3235544,16.3746747,,
node/3286932011,Žman,marina,43.9700271,15.1156711,,
node/3287621634,Luka,marina_no_facilities,43.9790027,15.09754,,
node/3294158123,Slano,marina,42.7861972,17.8885102,,
node/3393495998,Marina Yachting Club,marina,44.5436341,14.4608055,https://losinia.hr/,+385 51 231 626
node/3467916296,Marina Orašac,marina,42.6943096,18.0178348,,
node/3539207106,Marina bez naziva (node/3539207106),marina,43.384642,16.5541148,,
node/3539207107,Marina bez naziva (node/3539207107),marina,43.386186,16.5556775,,
node/3618305310,Marina bez naziva (node/3618305310),marina,44.834925,14.7252394,,
node/3670462062,Riva,marina,45.1823387,14.2427289,,
node/3688555226,Jadranovo,marina,45.2270329,14.6129515,,
node/3702036074,Muna,marina_no_facilities,43.6619341,15.6571426,,
node/3702087444,Core Lounge,marina,43.8114096,15.300354,https://www.core-kornati.com/,+385 75 999995; +385 91 2004045
node/3722393514,Igrane,marina,43.1957808,17.1439464,,
node/3878797781,PRIVATE,marina,42.9512713,17.2695208,,
node/4252915096,Marina bez naziva (node/4252915096),marina,44.9181728,14.0221821,,
node/4262750427,Windsurf Station,marina,44.7851239,13.9171236,,
node/4290164395,Vinici,marina,43.8259509,15.5829159,,
node/4431034388,Marina bez naziva (node/4431034388),marina,43.6752755,15.9146554,https://spongiola.com/en/modern-marina/,
node/4463320622,Marina bez naziva (node/4463320622),marina,45.3368412,14.3872998,,
node/4951752721,Marina bez naziva (node/4951752721),marina,44.0119164,15.2805045,,
node/4951769157,Marina bez naziva (node/4951769157),marina,44.0146343,15.2690627,,
node/4961951568,Luka Zapuntel,marina,44.2611875,14.7983687,,
node/4975913426,Luka Zablaće,marina,43.706178,15.8670262,,
node/5010237538,Marina bez naziva (node/5010237538),marina,45.0398605,14.4773293,,
node/5126455071,Marina Veli Iž (Recepcija),marina,44.0501779,15.1103319,,
node/5133779921,ACI Marina  Žut (Recepcija),marina,43.8828749,15.2847997,,
node/5552020382,Marina Frapa Dubrovnik,marina,42.6584268,18.0818209,,
node/5768986685,Marina bez naziva (node/5768986685),marina,43.5141334,16.2919693,,
node/5894352111,Zapadna obala,marina,43.5038138,16.4295625,https://splitskaobala.hr/zapadna-obala/,
node/5894352112,Nautika centar Nava,marina,43.5026532,16.4282227,https://www.navaboats.com/,
node/5894352113,Jedriličarski klub Mornar,marina,43.502117,16.4278265,http://www.jk-mornar.hr/,
node/5894352114,Jedriličarski klub Labud,marina,43.5016083,16.4288933,https://www.jklabud.hr/,
node/5894376429,Sportska lučica Poljud,marina,43.5204619,16.4264488,,
node/5905768224,Marina bez naziva (node/5905768224),marina,44.7612237,14.7155721,,
node/5923733880,Marina bez naziva (node/5923733880),marina,42.8045212,17.7429034,,
node/6448541470,Marina bez naziva (node/6448541470),marina,43.7271101,15.846818,,
node/6693339293,Jazine,marina,44.1117046,15.2337187,https://cpa-zadar.hr/luke-1/luke-lokalnog-zna%C4%8Daja/luka-zadar-jazine,
node/7044842384,Luka Karbuni,marina,42.9149097,16.730698,,
node/8263752334,Nova luka,marina,43.5847428,15.9301521,,+385 91 2894006
node/8739721937,Marina bez naziva (node/8739721937),marina_no_facilities,43.8053135,15.9081294,,+385995948923
node/8739721939,Marina bez naziva (node/8739721939),marina_no_facilities,43.8065221,15.9120277,https://vidrovaca.com,+38598757281
node/8872394668,Konoba Smokvica,marina_no_facilities,43.7259126,15.4767519,https://smokvica-kornati.com/,+385 22 643 454; +385 91 333 0044
node/9835514875,Uvala Luka,marina,43.983177,15.0981055,,
node/9924137177,Prístav Arbanija,marina,43.5138718,16.3003588,,
node/9948261398,Marina bez naziva (node/9948261398),marina,42.7719656,16.8753087,,
node/9990941102,Olive Island Marina,marina,44.0956175,15.1698675,https://oliveisland-marina.eu/marina/,
node/10051973555,Port of Kuciste,marina,42.9800272,17.1156881,,
node/10209515519,Drage,marina,43.8910066,15.5318327,,
node/10280266203,Marina Funtana,marina,45.1779358,13.597195,https://funtana.com/en/accommodation/marina-funtana/,
node/10771869340,Marina bez naziva (node/10771869340),marina,43.0608771,16.1847603,,
node/10771869341,Marina bez naziva (node/10771869341),marina,43.044382,16.0875732,,
node/10799805691,Marina bez naziva (node/10799805691),marina,43.3991596,16.8606119,,
node/10974134435,Marina bez naziva (node/10974134435),marina,43.3368488,16.9665304,,
node/11070689505,Marina bez naziva (node/11070689505),marina,44.95749,14.4076741,,
node/11131421705,Marina bez naziva (node/11131421705),marina,44.0147613,15.1517538,https://my-sea.com/en/poi/croatia/north-dalmatia/iz/vodenjak-buoy-field/8bede513-d6c9-494f-b464-3a00074b9c4c,
node/11469851119,Luka Vrh Lima,marina,45.1313798,13.7338238,,
node/11483245295,Marina bez naziva (node/11483245295),marina,45.3179992,13.5602713,,
node/11833156908,Santa Maria,marina,45.2823665,13.5969582,,
node/11951606369,Marina bez naziva (node/11951606369),marina,43.0312059,17.4669674,,
node/12409171546,Marina Polesana Pula,marina,44.8781103,13.8226034,https://marina21.com/en/marina-polesana-pula/,+38552378400
node/12690833801,Mol,marina,44.3094691,15.0888599,,
node/12690839301,Marina bez naziva (node/12690839301),marina,44.296956,15.0906319,,
node/12690882101,Marijanov mul,marina,44.3179809,15.0568721,,
node/12798545202,Marina bez naziva (node/12798545202),marina,44.2969407,15.0956134,,
node/12851543002,Marina bez naziva (node/12851543002),marina,44.2967502,15.096646,,
node/12851543101,Osiječki mul,marina,44.3183704,15.0558729,,
node/12851543201,Marina bez naziva (node/12851543201),marina,44.3080199,15.0905346,,
node/12851543401,Marina bez naziva (node/12851543401),marina,44.3079059,15.0906153,,
node/12853442403,Marina bez naziva (node/12853442403),marina,44.2921919,15.0392853,,
node/12853450101,Luka Vir,marina,44.2967879,15.084782,,
node/12853450301,Marina bez naziva (node/12853450301),marina,44.3168325,15.0732433,,
node/12853450401,Marina bez naziva (node/12853450401),marina,44.2919827,15.0386012,,
node/12855879501,Marina bez naziva (node/12855879501),marina,44.30277,15.0260853,,
node/12989448826,Marina bez naziva (node/12989448826),marina_no_facilities,44.8450133,14.8012682,,
node/12989448827,Marina bez naziva (node/12989448827),marina_no_facilities,44.846283,14.8013155,,
node/13049930363,Marina bez naziva (node/13049930363),marina,44.2884637,15.0759071,,
node/13414358494,Luka Ufratar,marina,44.664662,14.3984953,,
node/13504496001,Marina bez naziva (node/13504496001),marina,44.2891068,15.1183343,,
node/13507759987,Marina bez naziva (node/13507759987),marina,44.8300357,13.8430135,,
node/13609474101,Marina bez naziva (node/13609474101),marina,44.297203,15.0894996,,
node/13609474102,Marina bez naziva (node/13609474102),marina,44.3118488,15.0792,,
node/13609474103,Marina bez naziva (node/13609474103),marina,44.3117036,15.079041,,
node/13609474201,Marina bez naziva (node/13609474201),marina,44.2966973,15.1002064,,
node/13609474301,Marina bez naziva (node/13609474301),marina,44.3113476,15.079355,,
node/13609474401,Marina bez naziva (node/13609474401),marina,44.3172423,15.0564172,,
node/13609474501,Marina bez naziva (node/13609474501),marina,44.3165148,15.0739623,,
node/13725369626,Marina bez naziva (node/13725369626),marina,45.3368168,14.3104339,,
