id,naziv,lat,lon,grad,podrucje,zupanija,konacna_ocjena
773,Misevac,43.515132460710014,16.276330947875976,Trogir,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
774,Gusarica,43.04794167271853,16.083984375,Komiža,Vis,Splitsko-dalmatinska,izvrsno
775,Lucica,43.04310393,16.08862996,Komiža,Vis,Splitsko-dalmatinska,izvrsno
776,Grandovac,43.06926399,16.20637894,Vis,Vis,Splitsko-dalmatinska,izvrsno
777,Prirovo,43.06349515,16.19007111,Vis,Vis,Splitsko-dalmatinska,izvrsno
778,Srebrna,43.02199998502556,16.20380401611328,Vis,Vis,Splitsko-dalmatinska,izvrsno
779,Uvala Budima,42.80327280483465,17.843985557556152,Dubrovačko primorje,Banići,Dubrovačko-neretvanska,izvrsno
780,Uvala Janska,42.79514872764227,17.850615978240967,Dubrovačko primorje,Banići,Dubrovačko-neretvanska,izvrsno
781,Brsecine,42.728651837961806,17.95365571975708,Dubrovnik,Brseine,Dubrovačko-neretvanska,izvrsno
782,Ht. Albatros,42.58528333333333333333333333333333333333,18.22455,Konavle,Cavtat,Dubrovačko-neretvanska,izvrsno
783,Ht. Croatia,42.58014359529928,18.21308970451355,Konavle,Cavtat,Dubrovačko-neretvanska,izvrsno
784,Ht. Epidaurus,42.58721367762801,18.225760459899902,Konavle,Cavtat,Dubrovačko-neretvanska,izvrsno
785,Ht. Supetar,42.58328770855936,18.213647603988647,Konavle,Cavtat,Dubrovačko-neretvanska,izvrsno
786,Uvala Doli,42.806909400719384,17.793753147125244,Dubrovačko primorje,Doli,Dubrovačko-neretvanska,izvrsno
787,Banje,42.64135417357279,18.116540908813476,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
788,Dance,42.64087515,18.1008972,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
789,Ht. Argentina,42.63964153796271,18.120832443237304,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
790,Ht. Bellevue,42.646,18.09266666666666666666666666666666666667,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
791,Ht. Belvedere,42.635174257350656,18.130123615264892,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
792,Ht. Dubrovnik Palace,42.651333333333333333333333333,18.06,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
793,Ht. Dubrovnik President,42.662115143057235,18.05701732635498,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
794,Ht. Excelsior,42.64075,18.11843333333333333333333333333333333333,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
795,Ht. Neptun,42.65903812783334,18.057478666305542,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
796,Ht. Splendid,42.65403568066681,18.064817190170288,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
797,Ht. Vis 2,42.652441756500785,18.061094284057617,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
798,Kolocep Donje Celo,42.678,18.00478333333333333333333333333333333333,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
799,Kup. Copacabana,42.66413484462523,18.064956665039062,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
800,Lozica,42.67263339,18.06778738,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
801,Mali Zaton,42.70066748566045,18.04208278656006,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,zadovoljavajuće
802,Orasac - Soderini,42.694611745808295,18.01461696624756,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
803,Park Gjivovic,42.6381577418108,18.12593936920166,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
804,Porporela,42.63951525881665,18.112657070159912,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
805,Stikovica,42.68817687513232,18.04929256439209,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
806,Sulic,42.641267359077055,18.103344440460205,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
807,Trsteno,42.710554103976165,17.97541379928589,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
808,Uvala Lapad,42.65517191849825,18.0694842338562,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
809,Veliki Zaton,42.68943866702586,18.040666580200195,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
810,Veliki Zali,42.74031482668021,17.927391529083252,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
811,Villa Dubrovnik,42.63784203593689,18.126314878463745,Dubrovnik,Dubrovnik,Dubrovačko-neretvanska,izvrsno
812,Kolocep - Dun Djivan,42.66973333333333333333333333333333333333,18.01918333333333333333333333333333333333,Dubrovnik,Koločep,Dubrovačko-neretvanska,izvrsno
813,Prigradica,42.965907161300784,16.808180809020996,Blato,Korčula,Dubrovačko-neretvanska,zadovoljavajuće
814,Priscapac,42.903287738093816,16.82229995727539,Blato,Korčula,Dubrovačko-neretvanska,izvrsno
815,Prizba,42.905441042807176,16.79612159729004,Blato,Korčula,Dubrovačko-neretvanska,izvrsno
816,Badija,42.951098532013965,17.162811756134033,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
817,Gradska plaza Banje,42.956909341630954,17.1372127532959,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
818,Ht. Bon Repos,42.95258333333333333333333333333333333333,17.14286666666666666666666666666666666667,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
819,Ht. Park,42.956501032391536,17.137985229492187,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
820,Ispod zidina,42.96191666666666666666666666666666666667,17.13748333333333333333333333333333333333,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
821,Racisce,42.9735063886709,17.02108383178711,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
822,Sv. Nikola,42.96283333333333333333333333333333333333,17.12895,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
823,Zrnovska Banja,42.95879381070452,17.111270427703857,Korčula,Korčula,Dubrovačko-neretvanska,izvrsno
824,Bilin zal,42.9222,17.18445,Lumbarda,Korčula,Dubrovačko-neretvanska,izvrsno
825,Uvala Przina,42.917840727946206,17.185964584350586,Lumbarda,Korčula,Dubrovačko-neretvanska,izvrsno
826,Uvala Tatinja,42.92420461640871,17.177016735076904,Lumbarda,Korčula,Dubrovačko-neretvanska,izvrsno
827,Ht. Feral,42.903947883299715,16.856975555419922,Smokvica,Korčula,Dubrovačko-neretvanska,izvrsno
828,Ht. Adria,42.96824669289519,16.700763702392578,Vela Luka,Korčula,Dubrovačko-neretvanska,izvrsno
829,Ht. Posejdon,42.9625782784177,16.712887287139892,Vela Luka,Korčula,Dubrovačko-neretvanska,izvrsno
830,Proizd,42.98603364314165,16.620619297027588,Vela Luka,Korčula,Dubrovačko-neretvanska,izvrsno
831,Kuciste,42.97513915795521,17.12965965270996,Orebić,Kuite,Dubrovačko-neretvanska,izvrsno
832,Kupari,42.62000205226323,18.192458152770996,Župa dubrovačka,Kupari,Dubrovačko-neretvanska,izvrsno
833,Pasadur,42.765493095319925,16.820690631866455,Lastovo,Lastovo,Dubrovačko-neretvanska,izvrsno
834,Rt Zaglav,42.7482176187141,16.81409239768982,Lastovo,Lastovo,Dubrovačko-neretvanska,izvrsno
835,Skrivena luka,42.73700528251623,16.888067722320556,Lastovo,Lastovo,Dubrovačko-neretvanska,izvrsno
836,Sv. Mihovil,42.77184119375536,16.895084381103515,Lastovo,Lastovo,Dubrovačko-neretvanska,izvrsno
837,Bijele stijene,42.62502302482709,18.11898708343506,Dubrovnik,Lokrum,Dubrovačko-neretvanska,izvrsno
838,Portoc,42.62524801176007,18.12348246574402,Dubrovnik,Lokrum,Dubrovačko-neretvanska,izvrsno
839,Lopud Sunj,42.68006925083285,17.95262575149536,Dubrovnik,Lopud,Dubrovačko-neretvanska,izvrsno
840,Lopud-Grand hotel,42.686599599220884,17.937583923339843,Dubrovnik,Lopud,Dubrovačko-neretvanska,izvrsno
841,Loviste,43.024862892075525,17.034162282943725,Orebić,Lovite,Dubrovačko-neretvanska,izvrsno
842,Mlini,42.62149417601844,18.207253217697143,Župa dubrovačka,Mlini,Dubrovačko-neretvanska,izvrsno
843,Strijezica,42.62287574020478,18.201706409454345,Župa dubrovačka,Mlini,Dubrovačko-neretvanska,izvrsno
844,Ht. Odisej,42.78877152455195,17.341554164886474,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
845,Kod mosta,42.78259839601277,17.35161781311035,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
846,M.Zaglavac,42.74155979995018,17.597222328186035,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
847,Okuklje,42.72631897701287,17.66871929168701,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
848,Polace,42.78634644032608,17.378761768341064,Mljet,Mljet,Dubrovačko-neretvanska,dobro
849,Prozura,42.73068333333333333333333333333333333333,17.65026666666666666666666666666666666667,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
850,Saplunara,42.69984747212718,17.739744186401367,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
851,Skalinada,42.78365,17.3475,Mljet,Mljet,Dubrovačko-neretvanska,izvrsno
852,Molunat,42.45352871720563,18.43484401702881,Konavle,Molunat,Dubrovačko-neretvanska,izvrsno
853,Usce,43.01556776176427,17.465686798095703,Opuzen,Opuzen,Dubrovačko-neretvanska,izvrsno
854,Orasac-Na skali,42.69665404699157,18.002697229385376,Dubrovnik,Orašac,Dubrovačko-neretvanska,izvrsno
855,Ht. Bellevue,42.97366666666666666666666666666666666667,17.16456666666666666666666666666666666667,Orebić,Orebić,Dubrovačko-neretvanska,izvrsno
856,Orebićc,42.97438557751841,17.171716690063476,Orebić,Orebić,Dubrovačko-neretvanska,izvrsno
857,Trstenica,42.977431241689246,17.191157341003418,Orebić,Orebić,Dubrovačko-neretvanska,izvrsno
858,Drace,42.92842362,17.44947115,Janjina,Peljeac,Dubrovačko-neretvanska,izvrsno
859,Zaglavak - Trstenik,42.91161208,17.41305479,Orebić,Peljeac,Dubrovačko-neretvanska,izvrsno
860,Broce,42.81926593196433,17.718576192855835,Ston,Peljeac,Dubrovačko-neretvanska,izvrsno
861,Kobas,42.80329086,17.74341711,Ston,Peljeac,Dubrovačko-neretvanska,izvrsno
862,Ht. Plat,42.6081743250406,18.2243013381958,Župa dubrovačka,Plat,Dubrovačko-neretvanska,izvrsno
863,Portina,43.06289389,17.42307553,Ploče,Ploče,Dubrovačko-neretvanska,dobro
864,Usce,43.01820348594956,17.455730438232422,Ploče,Ploče,Dubrovačko-neretvanska,zadovoljavajuće
865,Prapratno,42.81668464409703,17.67575740814209,Ston,Prapratno,Dubrovačko-neretvanska,izvrsno
866,Prevlaka,42.4066642855619,18.51119041442871,Konavle,Prevlaka,Dubrovačko-neretvanska,izvrsno
867,Sladjenovici,42.783811023416,17.85879135131836,Dubrovačko primorje,Slačenovići,Dubrovačko-neretvanska,izvrsno
868,Ht. Admiral,42.78675587679651,17.888295650482177,Dubrovačko primorje,Slano,Dubrovačko-neretvanska,izvrsno
869,Ht. Osmine,42.77916511429248,17.869691848754883,Dubrovačko primorje,Slano,Dubrovačko-neretvanska,izvrsno
870,Blace,43.00076324469522,17.480084896087646,Slivno,Slivno,Dubrovačko-neretvanska,izvrsno
871,Duba,42.9774704889544,17.4927020072937,Slivno,Slivno,Dubrovačko-neretvanska,izvrsno
872,Duboka,42.94442327634067,17.542805671691894,Slivno,Slivno,Dubrovačko-neretvanska,izvrsno
873,Klek,42.9436379045523,17.562718391418457,Slivno,Slivno,Dubrovačko-neretvanska,izvrsno
874,Komarna,42.941462372383874,17.537773847579956,Slivno,Slivno,Dubrovačko-neretvanska,izvrsno
875,Srebreno,42.623270467198544,18.19838047027588,Župa dubrovačka,Srebreno,Dubrovačko-neretvanska,izvrsno
876,Sreser,42.94560131523718,17.445216178894043,Janjina,Sreser,Dubrovačko-neretvanska,izvrsno
877,Ston,42.83331946835658,17.697601318359375,Ston,Supavo,Dubrovačko-neretvanska,izvrsno
878,Kup. Sudjuradj,42.71098333333333333333333333333333333333,17.91101666666666666666666666666666666667,Dubrovnik,Šipan,Dubrovačko-neretvanska,izvrsno
879,SŠipanska Luka,42.72929808797606,17.853147983551025,Dubrovnik,Šipan,Dubrovačko-neretvanska,izvrsno
880,Ht. Faraon,43.009229009508104,17.264456748962402,Trpanj,Trpanj,Dubrovačko-neretvanska,izvrsno
881,Uvala Luka,43.00387821689628,17.284830808639526,Trpanj,Trpanj,Dubrovačko-neretvanska,izvrsno
882,Trstenik,42.917102160051485,17.39959716796875,Orebić,Trstenik,Dubrovačko-neretvanska,izvrsno
883,Viganj,42.978671443157026,17.103320360183716,Orebić,Viganj,Dubrovačko-neretvanska,izvrsno
884,ZŠuljana,42.892299997947056,17.454142570495605,Ston,Šuljana,Dubrovačko-neretvanska,izvrsno
